Country/area,Technology,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Austria,Liquid biofuels,Electricity capacity (MW),0.00,0.00,2.00,10.00,17.00,50.44,54.38,27.41,55.81,45.87,14.51,7.34,5.51,6.36,1.03,3.39,2.97,1.20,1.32,0.52,0.46,0.46,
Austria,Biogas,Electricity capacity (MW),24.00,27.00,18.00,29.00,29.00,217.78,222.17,289.35,284.66,335.48,330.27,372.20,272.94,194.04,188.87,191.41,202.30,180.08,175.40,163.74,164.58,164.58,
Austria,Geothermal,Electricity capacity (MW),0.00,0.00,2.00,2.00,2.00,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,
Belgium,Total renewable energy,Electricity capacity (MW),232.50,277.50,300.00,407.50,458.00,788.50,879.00,988.50,1192.50,2011.00,3052.10,4197.60,5122.10,5765.10,5993.25,6362.80,6731.25,7427.50,8262.60,9510.55,11283.25,12401.79,
Belgium,Hydropower,Electricity capacity (MW),1413.00,1421.00,1421.00,1420.00,1425.00,1412.00,1414.00,1417.00,1418.00,1417.00,1425.00,1426.00,1427.00,1429.00,1431.00,1422.00,1419.10,1417.10,1417.80,1414.10,1415.80,1416.80,
Belgium,Renewable hydropower,Electricity capacity (MW),103.00,111.00,111.00,110.00,115.00,105.00,107.00,110.00,111.00,110.00,118.00,119.00,120.00,119.00,121.00,112.00,109.10,107.10,107.80,104.10,105.80,106.80,
Belgium,Pumped storage,Electricity capacity (MW),1310.00,1310.00,1310.00,1310.00,1310.00,1307.00,1307.00,1307.00,1307.00,1307.00,1307.00,1307.00,1307.00,1310.00,1310.00,1310.00,1310.00,1310.00,1310.00,1310.00,1310.00,1310.00,
Belgium,Marine,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Belgium,Wind,Electricity capacity (MW),14.00,26.00,31.00,67.00,96.00,167.00,212.00,276.00,324.00,608.00,912.00,1069.00,1370.00,1780.00,1944.00,2176.00,2370.00,2787.50,3267.90,3863.40,4680.90,4779.64,
Belgium,Onshore wind energy,Electricity capacity (MW),14.00,26.00,31.00,67.00,96.00,167.00,212.00,276.00,324.00,576.50,715.50,872.50,989.00,1072.30,1236.30,1464.00,1657.80,1910.30,2082.00,2307.90,2419.10,2517.84,
Belgium,Offshore wind energy,Electricity capacity (MW),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.50,196.50,196.50,381.00,707.70,707.70,712.00,712.20,877.20,1185.90,1555.50,2261.80,2261.80,
Belgium,Solar,Electricity capacity (MW),0.00,0.00,1.00,1.00,1.00,2.00,2.00,20.00,62.00,386.00,1006.60,1978.60,2646.60,2901.60,3015.00,3131.60,3328.80,3620.60,4000.00,4636.60,5574.80,6584.60,
Belgium,Solar photovoltaic,Electricity capacity (MW),0.00,0.00,1.00,1.00,1.00,2.00,2.00,20.00,62.00,386.00,1006.60,1978.60,2646.60,2901.60,3015.00,3131.60,3328.80,3620.60,4000.00,4636.60,5574.80,6584.60,
Belgium,Concentrated solar power,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Belgium,Bioenergy,Electricity capacity (MW),115.50,140.50,157.00,229.50,246.00,514.50,558.00,582.50,695.50,907.00,1015.50,1031.00,985.50,964.50,913.25,943.20,923.35,912.30,886.90,906.45,921.75,930.75,
Belgium,Solid biofuels,Electricity capacity (MW),95.50,112.50,124.00,187.50,196.00,363.50,405.00,417.50,534.50,663.00,766.50,821.00,789.50,763.50,681.25,715.50,690.95,684.50,651.50,664.95,699.65,708.65,
Belgium,Bagasse,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Belgium,Renewable municipal waste,Electricity capacity (MW),48.50,50.50,67.00,66.50,66.00,69.50,98.00,88.50,92.50,109.00,126.50,120.00,111.50,123.50,123.65,124.20,124.65,125.30,125.20,125.75,136.15,135.15,
Belgium,Other solid biofuels,Electricity capacity (MW),47.00,62.00,57.00,121.00,130.00,294.00,307.00,329.00,442.00,554.00,640.00,701.00,678.00,640.00,557.60,591.30,566.30,559.20,526.30,539.20,563.50,573.50,
Belgium,Liquid biofuels,Electricity capacity (MW),0.00,0.00,0.00,0.00,0.00,95.00,100.00,97.00,73.00,139.00,134.00,81.00,55.00,50.00,51.00,48.80,44.90,45.30,45.20,44.90,23.10,23.10,
Belgium,Biogas,Electricity capacity (MW),20.00,28.00,33.00,42.00,50.00,56.00,53.00,68.00,88.00,105.00,115.00,129.00,141.00,151.00,181.00,178.90,187.50,182.50,190.20,196.60,199.00,199.00,
Belgium,Geothermal,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Croatia,Total renewable energy,Electricity capacity (MW),2070.00,2070.00,2057.00,2067.00,2080.00,2076.00,2087.00,2085.00,2087.50,2157.80,2217.80,2273.80,2331.50,2474.50,2576.60,2713.40,2793.40,2915.70,2978.90,3068.20,3254.60,3453.60,
Croatia,Hydropower,Electricity capacity (MW),2067.00,2067.00,2054.00,2064.00,2071.00,2065.00,2065.00,2063.00,2063.00,2080.00,2129.00,2129.00,2129.00,2178.00,2180.10,2195.10,2192.10,2193.00,2199.50,2199.70,2199.50,2201.50,
Croatia,Renewable hydropower,Electricity capacity (MW),2067.00,2067.00,2054.00,2064.00,2071.00,2065.00,2065.00,2063.00,2063.00,2080.00,2129.00,2129.00,2129.00,2178.00,2180.10,2195.10,2192.10,2193.00,2199.50,2199.70,2199.50,2201.50,
Croatia,Pumped storage,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Croatia,Marine,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Croatia,Wind,Electricity capacity (MW),0.00,0.00,0.00,0.00,6.00,6.00,17.00,17.00,17.00,70.00,79.00,130.00,180.00,254.00,339.00,418.00,483.00,576.10,586.30,646.30,801.30,988.30,
Croatia,Onshore wind energy,Electricity capacity (MW),,,,,6.00,6.00,17.00,17.00,17.00,70.00,79.00,130.00,180.00,254.00,339.00,418.00,483.00,576.10,586.30,646.30,801.30,988.30,
Croatia,Offshore wind energy,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Croatia,Solar,Electricity capacity (MW),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.30,4.00,19.00,33.00,47.80,55.80,60.00,67.70,84.80,108.50,108.50,
Croatia,Solar photovoltaic,Electricity capacity (MW),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.30,4.00,19.00,33.00,47.80,55.80,60.00,67.70,84.80,108.50,108.50,
Croatia,Concentrated solar power,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Croatia,Bioenergy,Electricity capacity (MW),3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,7.50,7.50,9.50,14.50,18.50,23.50,24.50,52.50,62.50,86.60,115.40,127.40,135.30,145.30,
Croatia,Solid biofuels,Electricity capacity (MW),3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,6.00,7.00,7.00,8.00,25.00,26.00,42.00,64.80,75.50,80.20,90.20,
Croatia,Bagasse,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Croatia,Renewable municipal waste,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Croatia,Other solid biofuels,Electricity capacity (MW),3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,6.00,7.00,7.00,8.00,25.00,26.00,42.00,64.80,75.50,80.20,90.20,
Croatia,Liquid biofuels,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
