Country/area,Technology,Indicator, 2 000, 2 001, 2 002, 2 003, 2 004, 2 005, 2 006, 2 007, 2 008, 2 009, 2 010, 2 011, 2 012, 2 013, 2 014, 2 015, 2 016, 2 017, 2 018, 2 019, 2 020, 2 021
,Renewable hydropower,Electricity capacity (MW),  30,  30,  30,  30,  30,  30,  30,  30,  46,  46,  46,  46,  46,  46,  46,  46,  46,  46,  46,  46,  46,  46
,Pumped storage,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Marine,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Wind,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Onshore wind energy,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Offshore wind energy,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Solar,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  2,  3,  4
,Solar photovoltaic,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  2,  3,  4
,Concentrated solar power,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Bioenergy,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5
,Solid biofuels,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5
,Bagasse,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Renewable municipal waste,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5
,Other solid biofuels,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Liquid biofuels,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Biogas,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Geothermal,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
Austria,Total renewable energy,Electricity capacity (MW), 12 478, 12 513, 12 416, 12 879, 13 182, 14 243, 14 643, 15 085, 15 570, 15 860, 16 177, 16 708, 16 656, 17 192, 17 839, 18 473, 19 336, 19 596, 20 376, 20 774, 21 126, 22 014
,Hydropower,Electricity capacity (MW), 11 613, 11 640, 11 504, 11 545, 11 578, 11 799, 11 825, 11 988, 12 441, 12 630, 12 895, 13 177, 13 309, 13 383, 13 532, 13 650, 14 116, 14 150, 14 516, 14 597, 14 605, 14 546
,Renewable hydropower,Electricity capacity (MW), 11 613, 11 640, 11 504, 11 545, 11 578, 11 799, 11 825, 11 988, 12 441, 12 630, 12 895, 13 177, 13 309, 13 383, 13 532, 13 650, 14 116, 14 150, 14 516, 14 597, 14 605, 14 546
,Pumped storage,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Marine,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
